南公民館,富山県,氷見市,南大町26-16,himi@gmail.com,10,コンビニのすぐ前です荒川公民館,富山県,富山市,荒川2-13-1,09012345678,arakawa@gmail.com,6,荒川神社のすぐ横です。
浜黒崎公民館,富山県,富山市,浜黒崎3295-12,0764379371,hamakurozaki@gmail.com,10,コンビニのすぐ前です
種田公民館,富山県,砺波市,庄川町五ケ436-1,tanegakuminkan@gmail.com,10,コンビニのすぐ前です
朝日町立泊二区公民館,富山県,朝日町,荒川134-30,asahimati@yahoo.com,10,コンビニのすぐ前です
太田公民館,富山県,富山市,太田351-2,ootakouminkan@yahool.com,10,コンビニのすぐ前です
成美公民館,富山県,高岡市,大坪町3-7-56,takaoka@gmail.com,10,コンビニのすぐ前です
魚津公民館,富山県,魚津市,鹿熊33-1,uodu@gmail.com,10,コンビニのすぐ前です
田家公民館,富山県,黒部市,田家16,kurobe@gmail.com,10,コンビニのすぐ前です
広瀬館公民館,富山県,南砺市,祖谷28-1,nanto@gmail.com,10,コンビニのすぐ前です
南公民館,富山県,氷見市,南大町26-16,himi@gmail.com,10,コンビニのすぐ前です
宇奈月公民館,富山県,黒部市,宇奈月温泉647,unaduki@gmail.com,10,コンビニのすぐ前です
立山町立利田公民館,富山県,立山町,利田1080,tateyama@gmail.com,10,コンビニのすぐ前です
新川公民館,富山県,立山町,立山町二ッ塚85-5,tateyama2@gmail.com,10,コンビニのすぐ前です
大岩公民館,富山県,上市町,大岩156,kamiiti@gmail.com,10,コンビニのすぐ前です
船橋公民館,富山県,舟橋村,仏生寺55,hunahasi@gmail.com,10,コンビニのすぐ前です
下夕南部公民館,富山県,氷見市,南大町26-16,himi@gmail.com,10,コンビニのすぐ前です
